asset_name,asset_category,damage_score,damage_type,asset_age_years,expected_lifespan,usage_count,repair_cost_etb,market_price_etb,repair_cost_ratio,remaining_life,decision
Dell OptiPlex 7090,Computer,0.72,electrical,5.5,6,320,22000,55000,0.40,0.08,1
Dell OptiPlex 7090,Computer,0.30,physical,2.0,6,150,8000,55000,0.15,0.67,0
Dell OptiPlex 3080,Computer,0.88,structural,6.5,6,410,30000,48000,0.63,0.00,1
Dell OptiPlex 3080,Computer,0.45,software,3.0,6,200,12000,48000,0.25,0.50,0
HP ProDesk 400,Computer,0.91,electrical,7.0,6,500,38000,50000,0.76,0.00,1
HP ProDesk 400,Computer,0.20,physical,1.5,6,80,5000,50000,0.10,0.75,0
Lenovo ThinkCentre M70,Computer,0.60,software,4.0,6,280,18000,52000,0.35,0.33,0
Lenovo ThinkCentre M70,Computer,0.85,electrical,6.0,6,350,40000,52000,0.77,0.00,1
Acer Veriton X4,Computer,0.35,physical,2.5,6,120,9000,45000,0.20,0.58,0
Acer Veriton X4,Computer,0.78,structural,5.0,6,300,28000,45000,0.62,0.17,1
HP EliteBook 840,Laptop,0.65,electrical,4.0,5,290,32000,75000,0.43,0.20,0
HP EliteBook 840,Laptop,0.88,physical,5.5,5,400,60000,75000,0.80,0.00,1
Dell Latitude 5520,Laptop,0.40,software,2.0,5,180,14000,80000,0.18,0.60,0
Dell Latitude 5520,Laptop,0.92,electrical,6.0,5,450,70000,80000,0.88,0.00,1
Lenovo ThinkPad E14,Laptop,0.55,physical,3.5,5,220,22000,70000,0.31,0.30,0
Lenovo ThinkPad E14,Laptop,0.80,structural,5.0,5,380,55000,70000,0.79,0.00,1
Asus ExpertBook B1,Laptop,0.25,physical,1.0,5,60,8000,65000,0.12,0.80,0
Asus ExpertBook B1,Laptop,0.70,electrical,4.5,5,310,45000,65000,0.69,0.10,1
Acer Aspire 5,Laptop,0.50,software,3.0,5,200,18000,60000,0.30,0.40,0
Acer Aspire 5,Laptop,0.87,electrical,5.0,5,400,52000,60000,0.87,0.00,1
Epson EB-X41,Projector,0.40,physical,3.0,8,180,10000,40000,0.25,0.63,0
Epson EB-X41,Projector,0.86,electrical,8.5,8,420,32000,40000,0.80,0.00,1
BenQ MX550,Projector,0.30,structural,2.0,8,100,7000,35000,0.20,0.75,0
BenQ MX550,Projector,0.75,physical,7.0,8,350,26000,35000,0.74,0.13,1
ViewSonic PA503S,Projector,0.55,electrical,5.0,8,260,16000,38000,0.42,0.38,0
ViewSonic PA503S,Projector,0.90,structural,9.0,8,500,30000,38000,0.79,0.00,1
Optoma HD143X,Projector,0.20,physical,1.5,8,70,5000,42000,0.12,0.81,0
Optoma HD143X,Projector,0.68,electrical,6.5,8,310,28000,42000,0.67,0.19,0
LG PH510P,Projector,0.45,software,4.0,8,190,13000,36000,0.36,0.50,0
LG PH510P,Projector,0.93,physical,8.0,8,460,35000,36000,0.97,0.00,1
Olympus CX31,Lab Equipment,0.35,physical,3.0,10,150,15000,120000,0.13,0.70,0
Olympus CX31,Lab Equipment,0.88,electrical,11.0,10,600,95000,120000,0.79,0.00,1
Mettler AX224,Lab Equipment,0.50,structural,5.0,10,200,30000,100000,0.30,0.50,0
Mettler AX224,Lab Equipment,0.91,physical,12.0,10,700,85000,100000,0.85,0.00,1
Thermo Scientific TS500,Lab Equipment,0.25,software,2.0,10,80,12000,150000,0.08,0.80,0
Thermo Scientific TS500,Lab Equipment,0.75,electrical,9.0,10,450,110000,150000,0.73,0.10,1
Hanna pH Meter HI98130,Lab Equipment,0.40,physical,4.0,10,180,18000,80000,0.23,0.60,0
Hanna pH Meter HI98130,Lab Equipment,0.85,structural,10.5,10,550,65000,80000,0.81,0.00,1
Stuart Hotplate SB162,Lab Equipment,0.60,electrical,6.0,10,300,40000,90000,0.44,0.40,0
Stuart Hotplate SB162,Lab Equipment,0.95,physical,11.0,10,650,82000,90000,0.91,0.00,1
Canon iR2625,Printer,0.45,physical,3.0,5,200,10000,28000,0.36,0.40,0
Canon iR2625,Printer,0.87,electrical,5.5,5,420,22000,28000,0.79,0.00,1
HP LaserJet M404,Printer,0.30,software,2.0,5,120,6000,25000,0.24,0.60,0
HP LaserJet M404,Printer,0.80,physical,5.0,5,380,20000,25000,0.80,0.00,1
Epson L3150,Printer,0.55,structural,4.0,5,250,12000,18000,0.67,0.20,0
Epson L3150,Printer,0.90,electrical,6.0,5,480,16000,18000,0.89,0.00,1
Brother DCP-L2540,Printer,0.20,physical,1.0,5,60,4000,22000,0.18,0.80,0
Brother DCP-L2540,Printer,0.70,electrical,4.5,5,300,17000,22000,0.77,0.10,1
Samsung SL-M2835,Printer,0.42,software,3.5,5,180,9000,20000,0.45,0.30,0
Samsung SL-M2835,Printer,0.88,structural,5.5,5,410,18000,20000,0.90,0.00,1
Office Chair OC-200,Furniture,0.30,physical,2.0,12,80,600,8000,0.08,0.83,0
Office Chair OC-200,Furniture,0.85,structural,13.0,12,500,6500,8000,0.81,0.00,1
Study Desk SD-100,Furniture,0.20,physical,1.5,12,60,400,6000,0.07,0.88,0
Study Desk SD-100,Furniture,0.75,structural,12.5,12,400,4500,6000,0.75,0.00,1
Lecture Podium LP-50,Furniture,0.40,physical,4.0,12,200,1200,12000,0.10,0.67,0
Lecture Podium LP-50,Furniture,0.88,structural,14.0,12,600,10000,12000,0.83,0.00,1
Steel Bookshelf BS-30,Furniture,0.25,structural,3.0,12,120,500,5000,0.10,0.75,0
Steel Bookshelf BS-30,Furniture,0.70,physical,11.0,12,300,3800,5000,0.76,0.08,1
Lab Stool LS-10,Furniture,0.35,physical,2.5,12,150,300,3000,0.10,0.79,0
Lab Stool LS-10,Furniture,0.90,structural,13.5,12,600,2600,3000,0.87,0.00,1
Cisco Catalyst 2960,Network,0.45,electrical,4.0,7,250,12000,30000,0.40,0.43,0
Cisco Catalyst 2960,Network,0.88,electrical,8.0,7,480,24000,30000,0.80,0.00,1
TP-Link TL-SG108,Network,0.30,physical,2.0,7,100,4000,8000,0.50,0.71,0
TP-Link TL-SG108,Network,0.80,electrical,7.5,7,380,6500,8000,0.81,0.00,1
Ubiquiti UniFi AP,Network,0.50,software,3.5,7,200,8000,18000,0.44,0.50,0
Ubiquiti UniFi AP,Network,0.91,electrical,8.0,7,500,15000,18000,0.83,0.00,1
MikroTik RB750,Network,0.25,software,1.5,7,80,3000,12000,0.25,0.79,0
MikroTik RB750,Network,0.75,physical,6.5,7,320,9500,12000,0.79,0.07,1
D-Link DGS-1008G,Network,0.40,electrical,3.0,7,160,5000,10000,0.50,0.57,0
D-Link DGS-1008G,Network,0.87,structural,8.0,7,450,8500,10000,0.85,0.00,1
Samsung 55 Smart TV,AV Equipment,0.40,electrical,3.5,7,200,18000,55000,0.33,0.50,0
Samsung 55 Smart TV,AV Equipment,0.88,physical,8.0,7,450,45000,55000,0.82,0.00,1
LG 43UN7300,AV Equipment,0.30,software,2.0,7,120,10000,48000,0.21,0.71,0
LG 43UN7300,AV Equipment,0.85,electrical,7.5,7,400,40000,48000,0.83,0.00,1
Sony HT-S350 Speaker,AV Equipment,0.50,physical,4.0,7,220,12000,35000,0.34,0.43,0
Sony HT-S350 Speaker,AV Equipment,0.90,structural,8.5,7,500,30000,35000,0.86,0.00,1
Canon EOS 1500D,AV Equipment,0.35,physical,2.5,7,150,15000,60000,0.25,0.64,0
Canon EOS 1500D,AV Equipment,0.78,electrical,6.0,7,320,48000,60000,0.80,0.14,1
Yamaha MG10 Mixer,AV Equipment,0.45,electrical,3.0,7,180,10000,28000,0.36,0.57,0
Yamaha MG10 Mixer,AV Equipment,0.92,physical,8.0,7,460,24000,28000,0.86,0.00,1
Dell OptiPlex 5090,Computer,0.15,physical,0.5,6,30,3000,58000,0.05,0.92,0
Dell OptiPlex 5090,Computer,0.55,software,3.5,6,200,16000,58000,0.28,0.42,0
HP ProDesk 600,Computer,0.82,electrical,5.8,6,380,42000,60000,0.70,0.03,1
HP ProDesk 600,Computer,0.38,physical,2.2,6,140,11000,60000,0.18,0.63,0
Lenovo IdeaCentre 3,Computer,0.68,structural,4.8,6,270,20000,46000,0.43,0.20,0
Lenovo IdeaCentre 3,Computer,0.94,electrical,7.2,6,520,42000,46000,0.91,0.00,1
HP Pavilion 15,Laptop,0.42,software,2.8,5,160,16000,62000,0.26,0.44,0
HP Pavilion 15,Laptop,0.86,structural,5.2,5,420,54000,62000,0.87,0.00,1
Dell Inspiron 5510,Laptop,0.28,physical,1.8,5,100,10000,72000,0.14,0.64,0
Dell Inspiron 5510,Laptop,0.76,electrical,4.8,5,350,56000,72000,0.78,0.04,1
Lenovo IdeaPad 3,Laptop,0.52,software,3.2,5,210,20000,58000,0.34,0.36,0
Lenovo IdeaPad 3,Laptop,0.89,physical,5.8,5,480,50000,58000,0.86,0.00,1
ViewSonic PX701HD,Projector,0.32,physical,2.5,8,130,8000,45000,0.18,0.69,0
ViewSonic PX701HD,Projector,0.84,electrical,8.2,8,440,36000,45000,0.80,0.00,1
Optoma EH412,Projector,0.48,structural,4.5,8,210,14000,50000,0.28,0.44,0
Optoma EH412,Projector,0.91,physical,9.5,8,550,42000,50000,0.84,0.00,1
Zeiss Microscope,Lab Equipment,0.22,physical,2.0,10,90,18000,200000,0.09,0.80,0
Zeiss Microscope,Lab Equipment,0.80,electrical,10.5,10,580,160000,200000,0.80,0.00,1
Sartorius Balance,Lab Equipment,0.44,structural,4.5,10,200,22000,110000,0.20,0.55,0
Sartorius Balance,Lab Equipment,0.93,physical,11.5,10,680,95000,110000,0.86,0.00,1
Bosch Centrifuge,Lab Equipment,0.38,software,3.5,10,160,20000,130000,0.15,0.65,0
Bosch Centrifuge,Lab Equipment,0.87,electrical,10.0,10,600,105000,130000,0.81,0.00,1
Kyocera ECOSYS M2040,Printer,0.36,physical,2.8,5,160,8000,24000,0.33,0.44,0
Kyocera ECOSYS M2040,Printer,0.85,electrical,5.8,5,440,20000,24000,0.83,0.00,1
Ricoh SP 330DN,Printer,0.48,structural,3.5,5,220,10000,22000,0.45,0.30,0
Ricoh SP 330DN,Printer,0.92,physical,6.0,5,500,19000,22000,0.86,0.00,1
Conference Chair CC-300,Furniture,0.22,physical,1.8,12,70,500,7000,0.07,0.85,0
Conference Chair CC-300,Furniture,0.80,structural,13.5,12,550,5800,7000,0.83,0.00,1
Whiteboard WB-120,Furniture,0.18,physical,1.2,12,50,300,4000,0.08,0.90,0
Whiteboard WB-120,Furniture,0.72,structural,12.0,12,400,3200,4000,0.80,0.00,1
Filing Cabinet FC-200,Furniture,0.28,structural,3.0,12,110,400,5500,0.07,0.75,0
Filing Cabinet FC-200,Furniture,0.86,physical,14.0,12,600,4800,5500,0.87,0.00,1
Huawei S5735 Switch,Network,0.38,software,3.0,7,160,8000,25000,0.32,0.57,0
Huawei S5735 Switch,Network,0.88,electrical,8.5,7,500,21000,25000,0.84,0.00,1
Netgear GS308,Network,0.25,physical,2.0,7,90,3000,9000,0.33,0.71,0
Netgear GS308,Network,0.78,electrical,7.0,7,360,7500,9000,0.83,0.00,1
Panasonic PT-VMZ60,Projector,0.42,electrical,3.8,8,190,12000,52000,0.23,0.53,0
Panasonic PT-VMZ60,Projector,0.89,structural,9.0,8,520,44000,52000,0.85,0.00,1
Nikon D3500,AV Equipment,0.32,physical,2.5,7,140,14000,55000,0.25,0.64,0
Nikon D3500,AV Equipment,0.82,electrical,7.2,7,400,46000,55000,0.84,0.00,1
JBL EON610 Speaker,AV Equipment,0.44,physical,3.5,7,190,10000,32000,0.31,0.50,0
JBL EON610 Speaker,AV Equipment,0.90,structural,8.0,7,480,28000,32000,0.88,0.00,1
Toshiba e-Studio 2518A,Printer,0.50,electrical,4.0,5,240,13000,30000,0.43,0.20,0
Toshiba e-Studio 2518A,Printer,0.88,physical,5.5,5,430,26000,30000,0.87,0.00,1
Acer Vero AV15,Laptop,0.18,physical,0.8,5,50,6000,68000,0.09,0.84,0
Acer Vero AV15,Laptop,0.74,electrical,4.2,5,290,50000,68000,0.74,0.16,1
MSI Modern 15,Laptop,0.60,software,3.8,5,250,26000,66000,0.39,0.24,0
MSI Modern 15,Laptop,0.91,structural,5.5,5,470,58000,66000,0.88,0.00,1
HP OfficeJet Pro 9010,Printer,0.28,physical,2.2,5,130,5000,20000,0.25,0.56,0
HP OfficeJet Pro 9010,Printer,0.83,electrical,5.0,5,390,17000,20000,0.85,0.00,1
Wooden Lecture Table,Furniture,0.32,structural,4.0,12,160,800,15000,0.05,0.67,0
Wooden Lecture Table,Furniture,0.88,physical,13.5,12,580,12500,15000,0.83,0.00,1
Storage Rack SR-50,Furniture,0.20,structural,2.5,12,80,350,4500,0.08,0.79,0
Storage Rack SR-50,Furniture,0.75,physical,12.0,12,400,3800,4500,0.84,0.00,1
TP-Link EAP225,Network,0.35,software,3.0,7,150,6000,15000,0.40,0.57,0
TP-Link EAP225,Network,0.86,electrical,7.5,7,420,12500,15000,0.83,0.00,1
Polycom Conference Cam,AV Equipment,0.42,physical,3.5,7,180,15000,42000,0.36,0.50,0
Polycom Conference Cam,AV Equipment,0.88,electrical,8.0,7,460,36000,42000,0.86,0.00,1
Andatech Centrifuge,Lab Equipment,0.28,physical,2.5,10,110,14000,95000,0.15,0.75,0
Andatech Centrifuge,Lab Equipment,0.84,structural,10.0,10,560,80000,95000,0.84,0.00,1
Kern PCB Balance,Lab Equipment,0.45,electrical,4.5,10,200,25000,85000,0.29,0.55,0
Kern PCB Balance,Lab Equipment,0.92,physical,11.5,10,650,75000,85000,0.88,0.00,1
